com.samsung.health.floors_climbed,6305105,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-03-10 18:26:53.460,,2020-03-10 18:33:24.931,2020-03-10 18:33:24.887,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-10 18:27:06.462,3c506a8e-7e9c-751b-65af-b11aa07617f9,
2020-03-10 23:46:40.133,,2020-03-10 23:49:18.691,2020-03-10 23:49:18.635,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-10 23:46:50.135,2cdca6da-3178-3879-021e-77fd7e4e12e0,
2020-03-13 01:40:15.793,,2020-03-13 01:48:18.231,2020-03-13 01:48:18.169,,,3.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-13 01:40:49.797,336b587d-cecb-9105-8886-1c93e2bd6a5e,
2020-03-13 01:48:26.534,,2020-03-13 01:50:10.748,2020-03-13 01:50:10.637,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-13 01:48:33.636,3696c3e8-8820-79d5-14a6-9d833281a3dc,
2020-03-14 09:58:24.058,,2020-03-14 10:06:25.289,2020-03-14 10:06:25.178,,,2.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-14 09:58:33.109,03bc4d2f-9c31-7652-61ff-a0515c16afe8,
2020-03-17 16:09:45.494,,2020-03-17 16:19:28.520,2020-03-17 16:19:28.496,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-17 16:09:56.495,1d43f8d5-1f8e-baa5-47e3-15b9913451c7,
2020-03-17 16:18:27.495,,2020-03-17 16:19:28.544,2020-03-17 16:19:28.533,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-17 16:18:40.496,a54121fa-65c2-4522-b5c6-a4f0958f2348,
2020-03-17 18:05:15.440,,2020-03-17 18:12:34.460,2020-03-17 18:12:34.447,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-17 18:05:27.446,24426b73-caa7-e7e7-ba46-9aacb6f89485,
2020-03-18 12:28:05.021,,2020-03-18 12:55:22.095,2020-03-18 12:55:22.024,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-18 12:28:23.024,f409ae8f-af7a-0004-616d-ec344b5dfe6e,
2020-03-20 12:46:22.650,,2020-03-20 12:55:38.684,2020-03-20 12:55:38.653,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-20 12:46:43.652,2d5ba1ec-e075-be54-6b60-a987df04f67b,
2020-03-20 13:00:55.436,,2020-03-20 13:02:02.866,2020-03-20 13:01:21.498,,,2.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-20 13:02:01.829,c2b943bb-4ccf-6751-725d-badfbcd3e6eb,
2020-03-24 17:04:34.369,,2020-03-24 17:05:37.397,2020-03-24 17:05:37.377,,,1.0,,UTC-0600,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-24 17:04:46.377,23cee093-5540-e9d4-6607-fd5e8e99909b,
2020-03-25 00:34:36.452,,2020-03-25 00:36:50.541,2020-03-25 00:36:50.476,,,3.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-25 00:35:24.471,acc6ddb6-4b5c-f385-22d7-8ff1eaf139df,
2020-03-25 17:42:33.071,,2020-03-25 17:44:41.551,2020-03-25 17:44:41.421,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-25 17:43:00.078,e5f26da6-3d96-77bd-e2ee-b92fed878ff4,
2020-03-25 20:12:52.160,,2020-03-25 20:16:07.622,2020-03-25 20:13:05.163,,,1.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2020-03-25 20:13:04.582,31830d1d-585e-c5a4-be6b-b534f3328935,
2019-10-21 17:35:52.351,,2019-10-21 17:40:23.893,2019-10-21 17:36:01.354,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-21 17:36:11.803,991c6f09-d706-5c26-cc30-424e271de634,
2019-10-13 01:45:58.124,,2019-10-13 01:47:30.254,2019-10-13 01:47:30.181,,,2.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-13 01:46:25.134,aab056fe-913b-c8a6-0bb3-16c1c19f7caf,
2019-10-12 23:49:02.636,,2019-10-12 23:51:02.797,2019-10-12 23:51:02.764,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 23:49:16.640,de03e71b-5374-3c31-8d5f-82340d1588dc,
2019-10-23 14:52:23.140,,2019-10-23 15:03:03.181,2019-10-23 15:03:03.159,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-23 14:52:41.142,f559db48-a9c2-bf02-38eb-db4174f06e7b,
2019-10-15 15:47:53.206,,2019-10-15 15:48:34.308,2019-10-15 15:48:34.284,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-15 15:48:01.236,14fc76c9-feea-baca-3065-b3de02375101,
2019-10-31 02:58:33.354,,2019-10-31 03:01:12.798,2019-10-31 03:01:12.780,,,2.0,,UTC-0700,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-31 02:58:43.780,06a9d48b-33c3-3283-3121-d655b0fc102a,
2019-10-12 04:30:28.596,,2019-10-12 04:47:14.193,2019-10-12 04:31:48.726,,,6.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 04:32:01.145,657025b3-75df-66d6-bba6-e7b7f967676d,
2019-10-23 02:42:06.662,,2019-10-23 02:43:01.833,2019-10-23 02:43:01.805,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-23 02:42:24.666,bd8958d1-03bd-589c-b3f4-bf8fa9bab9e1,
2019-10-12 20:41:54.230,,2019-10-12 20:45:23.296,2019-10-12 20:45:23.288,,,1.0,,UTC-0400,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-12 20:42:05.233,ef60e7e5-74f0-e593-fe4b-60d3d57dfde5,
2019-10-20 20:10:02.885,,2019-10-20 20:10:54.241,2019-10-20 20:10:54.042,,,1.0,,UTC-0500,BfdGMJKwGJ,com.sec.android.app.shealth,2019-10-20 20:10:08.887,46dff74f-1e74-8bba-4e1a-fdac46114df1,
