com.samsung.health.food_info,6305105,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2020-03-25 20:24:28.398,2020-03-25 20:24:28.398,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,jBfEgmLJSx,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,26ea0975-acb6-460e-b20f-80b6343c6070,1,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2020-03-25 20:24:28.399,2020-03-25 20:24:28.399,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,jBfEgmLJSx,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,be699d78-dcae-4a67-97e9-5019cba2910b,1,
233.0,0.0,149.0,,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2020-03-25 20:24:28.399,2020-03-25 20:24:28.399,0.065,1.02,0.236,4.0,Strawberries,7.08,,2.0,49.0,"cup, halves",,jBfEgmLJSx,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,edfc09d8-96b6-49a1-a4dc-594b82470e01,1,
67.0,6.0,0.0,,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2020-03-25 20:24:28.400,2020-03-25 20:24:28.400,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,jBfEgmLJSx,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,21f91ceb-a983-4f2c-a188-2cc239d682e1,1,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2020-03-25 20:24:28.400,2020-03-25 20:24:28.400,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,jBfEgmLJSx,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,7ae59c38-87e4-4384-9c21-8f275551e5f7,1,
86.0,0.0,0.0,,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2020-03-25 20:24:28.401,2020-03-25 20:24:28.401,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,,0.0,50.0,coffee cup (6 fl oz),,jBfEgmLJSx,g,1.295,,com.sec.android.app.shealth,9.14,3.7,ed0ca3f2-9f6c-4733-9bc6-b58dfeb7afe2,1,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2020-03-25 20:24:28.401,2020-03-25 20:24:28.401,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,jBfEgmLJSx,g,0.005,,com.sec.android.app.shealth,0.09,88.5,5aa2b381-8cca-4971-8973-d1abf8274297,1,
0.0,0.0,0.0,,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2020-03-25 20:24:28.402,2020-03-25 20:24:28.402,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,jBfEgmLJSx,g,0.0,,com.sec.android.app.shealth,0.0,,93453a5f-1e89-4a05-b029-f21a3d188449,1,
,0.0,0.0,,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2020-03-25 20:24:28.402,2020-03-25 20:24:28.402,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,,0.0,140.0,serving,,jBfEgmLJSx,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,0ccab939-eec1-4ba0-953c-32fd1410f879,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2020-03-25 20:24:28.403,2020-03-25 20:24:28.403,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,jBfEgmLJSx,g,3.067,,com.sec.android.app.shealth,11.42,2.0,f1c27963-f1f9-410f-8285-457b8a746433,1,
