com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,9763,,8634716,,2179840,,2020-03-26 04:55:10.223,,2020-03-25 20:24:28.248,,,,60,913870,238,,,,7085.1733,,688.7945,8d34091d-4760-45c7-8936-f86ccbfaaeba.extra_data.json,jBfEgmLJSx,2800,com.sec.android.app.shealth,6452076,15720000,8d34091d-4760-45c7-8936-f86ccbfaaeba,2020-03-25 00:00:00.000,
,,,,1760,,1154916,,0,,2020-03-25 20:25:19.086,,2020-03-25 20:24:28.404,,,,60,60000,31,,,,1312.9922,,65.45,fd242ac8-3cb4-4f3d-8b39-fac3487b5480.extra_data.json,jBfEgmLJSx,2400,com.sec.android.app.shealth,1152516,49560000,fd242ac8-3cb4-4f3d-8b39-fac3487b5480,2020-02-27 00:00:00.000,
,,,,1846,,2473649,,1324960,,2020-03-25 20:25:19.174,,2020-03-25 20:24:28.550,,,,60,1324960,66,,,,1384.4833,,275.41006,0dc7ab86-bf47-4703-a007-e3e7cde99ae6.extra_data.json,jBfEgmLJSx,12260,com.sec.android.app.shealth,1136429,32880000,0dc7ab86-bf47-4703-a007-e3e7cde99ae6,2020-02-28 00:00:00.000,
,,,,2673,,1821816,,0,,2020-03-25 20:25:19.253,,2020-03-25 20:24:28.606,,,,60,771710,50,,,,2067.6118,,94.09782,e7cd6b14-7162-45b9-b8a2-b612680b4af3.extra_data.json,jBfEgmLJSx,3915,com.sec.android.app.shealth,1817901,27420000,e7cd6b14-7162-45b9-b8a2-b612680b4af3,2020-02-29 00:00:00.000,
,,,,1951,,1253482,,0,,2020-03-25 20:25:19.317,,2020-03-25 20:24:28.702,,,,60,120000,33,,,,1473.2798,,68.11001,5855bc08-21aa-4c1c-a842-b386e2a84aa1.extra_data.json,jBfEgmLJSx,2400,com.sec.android.app.shealth,1251082,26760000,5855bc08-21aa-4c1c-a842-b386e2a84aa1,2020-03-01 00:00:00.000,
,,,,0,,0,,0,,2020-03-25 20:25:19.368,,2020-03-25 20:24:28.753,,,,60,0,0,,,,0.0,,0.0,8703c8e6-6932-4729-aea2-f2addc2a39c8.extra_data.json,jBfEgmLJSx,0,com.sec.android.app.shealth,0,-1,8703c8e6-6932-4729-aea2-f2addc2a39c8,2020-03-02 00:00:00.000,
,,,,3170,,2056457,,0,,2020-03-25 20:25:19.429,,2020-03-25 20:24:28.827,,,,60,120000,56,,,,2360.519,,113.96999,36240b81-e337-4e02-ba45-46e124e20412.extra_data.json,jBfEgmLJSx,8400,com.sec.android.app.shealth,2048057,19140000,36240b81-e337-4e02-ba45-46e124e20412,2020-03-03 00:00:00.000,
,,,,3234,,2138444,,0,,2020-03-25 20:25:19.492,,2020-03-25 20:24:28.961,,,,60,60000,58,,,,2386.198,,117.52098,d8742a81-2878-4cd0-9513-7879899adbf1.extra_data.json,jBfEgmLJSx,2800,com.sec.android.app.shealth,2135644,23699999,d8742a81-2878-4cd0-9513-7879899adbf1,2020-03-04 00:00:00.000,
,,,,2222,,1467469,,0,,2020-03-25 20:25:19.566,,2020-03-25 20:24:29.013,,,,60,120000,40,,,,1679.3369,,81.770004,c3ad28f3-91cb-4e3f-8d29-86f4a3b92131.extra_data.json,jBfEgmLJSx,8800,com.sec.android.app.shealth,1458669,21240000,c3ad28f3-91cb-4e3f-8d29-86f4a3b92131,2020-03-05 00:00:00.000,
,,,,3604,,2354166,,0,,2020-03-25 20:25:19.809,,2020-03-25 20:24:29.058,,,,60,240000,65,,,,2705.0708,,127.22102,f1bef141-7e6a-4367-b1be-06b9cfc9336f.extra_data.json,jBfEgmLJSx,1200,com.sec.android.app.shealth,2352966,23400000,f1bef141-7e6a-4367-b1be-06b9cfc9336f,2020-03-06 00:00:00.000,
