com.samsung.shealth.food_frequent,6305105,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2020-03-25 20:24:28.442,2020-03-25 20:24:28.442,0.99,0.99,0.99,jBfEgmLJSx,com.sec.android.app.shealth,0.99,07d596f1-b5ec-4f18-b09b-30aa500065c8,26ea0975-acb6-460e-b20f-80b6343c6070,0.99,
0.95,2020-03-25 20:24:28.443,2020-03-25 20:24:28.443,0.95,0.95,0.95,jBfEgmLJSx,com.sec.android.app.shealth,0.95,a7c7608f-5c36-4a7a-8de1-dcf6309b17b8,be699d78-dcae-4a67-97e9-5019cba2910b,0.95,
0.91,2020-03-25 20:24:28.443,2020-03-25 20:24:28.443,0.91,0.91,0.91,jBfEgmLJSx,com.sec.android.app.shealth,0.91,a450c7fc-ced7-42b3-ae1f-e7fb1a5b26a7,edfc09d8-96b6-49a1-a4dc-594b82470e01,0.91,
0.87,2020-03-25 20:24:28.443,2020-03-25 20:24:28.443,0.87,0.87,0.87,jBfEgmLJSx,com.sec.android.app.shealth,0.87,bbe0b6ff-d078-4b01-87e1-d9357d2fd82d,21f91ceb-a983-4f2c-a188-2cc239d682e1,0.87,
0.83,2020-03-25 20:24:28.444,2020-03-25 20:24:28.444,0.83,0.83,0.83,jBfEgmLJSx,com.sec.android.app.shealth,0.83,537b3486-8f9d-4d8b-b267-4b10495b3c4b,7ae59c38-87e4-4384-9c21-8f275551e5f7,0.83,
0.79,2020-03-25 20:24:28.444,2020-03-25 20:24:28.444,0.79,0.79,0.79,jBfEgmLJSx,com.sec.android.app.shealth,0.79,d45b1ab7-100b-454f-ab90-1ec9e23da645,ed0ca3f2-9f6c-4733-9bc6-b58dfeb7afe2,0.79,
0.75,2020-03-25 20:24:28.445,2020-03-25 20:24:28.445,0.75,0.75,0.75,jBfEgmLJSx,com.sec.android.app.shealth,0.75,16ba11f0-759f-482e-86e8-c73005098d45,5aa2b381-8cca-4971-8973-d1abf8274297,0.75,
0.71,2020-03-25 20:24:28.445,2020-03-25 20:24:28.445,0.71,0.71,0.71,jBfEgmLJSx,com.sec.android.app.shealth,0.71,0638bf49-696f-4087-82af-a14115057896,93453a5f-1e89-4a05-b029-f21a3d188449,0.71,
0.67,2020-03-25 20:24:28.445,2020-03-25 20:24:28.445,0.67,0.67,0.67,jBfEgmLJSx,com.sec.android.app.shealth,0.67,eb5808ee-c30c-4616-8165-26b2b8d43f6d,0ccab939-eec1-4ba0-953c-32fd1410f879,0.67,
0.63,2020-03-25 20:24:28.446,2020-03-25 20:24:28.446,0.63,0.63,0.63,jBfEgmLJSx,com.sec.android.app.shealth,0.63,bef537de-379d-46b1-bf84-dd3c224b9276,f1c27963-f1f9-410f-8285-457b8a746433,0.63,
0.95,2019-10-10 02:46:23.017,2019-10-10 02:46:23.017,0.95,0.95,0.95,rkSVQ0chfP,com.sec.android.app.shealth,0.95,5cf2e4bd-d58f-467c-a6e5-dfe80fcb4f9a,14c7cd3b-0db5-4b91-9472-ae745fe35f09,0.95,
0.99,2019-10-10 02:46:23.014,2019-10-10 02:46:23.014,0.99,0.99,0.99,rkSVQ0chfP,com.sec.android.app.shealth,0.99,673c2f80-cf8f-494f-84c1-56f636ac8725,122be484-7b75-46e6-8f94-08e0ddce1806,0.99,
0.75,2019-10-10 02:46:23.025,2019-10-10 02:46:23.025,0.75,0.75,0.75,rkSVQ0chfP,com.sec.android.app.shealth,0.75,5b907b41-ae1e-45ba-868e-e1e54a013432,5b365908-b335-4be6-bd9a-dfe475a315cc,0.75,
0.63,2019-10-10 02:46:23.028,2019-10-10 02:46:23.028,0.63,0.63,0.63,rkSVQ0chfP,com.sec.android.app.shealth,0.63,5d2e477b-ec42-47cc-ae3b-ad7132083b55,9227039f-3065-48b4-9b73-690250db262d,0.63,
0.91,2019-10-10 02:46:23.019,2019-10-10 02:46:23.019,0.91,0.91,0.91,rkSVQ0chfP,com.sec.android.app.shealth,0.91,fe1258c6-b211-403d-8581-e0e0dccbfd65,ad2032d1-c3be-4bd3-8236-f649da65d577,0.91,
0.83,2019-10-10 02:46:23.023,2019-10-10 02:46:23.023,0.83,0.83,0.83,rkSVQ0chfP,com.sec.android.app.shealth,0.83,3ee0bdfc-2361-48f5-8a13-0214d6bb7a2c,335c10a4-e36a-4abc-b4d9-ee8a41713e9f,0.83,
0.79,2019-10-10 02:46:23.024,2019-10-10 02:46:23.024,0.79,0.79,0.79,rkSVQ0chfP,com.sec.android.app.shealth,0.79,4e88d3d3-8db5-42d4-a8df-52afd41053d4,e73f7755-007e-4925-b009-efd0f281e6ff,0.79,
0.71,2019-10-10 02:46:23.026,2019-10-10 02:46:23.026,0.71,0.71,0.71,rkSVQ0chfP,com.sec.android.app.shealth,0.71,553e4490-8539-4667-abf6-584d8adfbf66,c48e194f-141f-40db-b77d-5747d14e0cf8,0.71,
0.67,2019-10-10 02:46:23.027,2019-10-10 02:46:23.027,0.67,0.67,0.67,rkSVQ0chfP,com.sec.android.app.shealth,0.67,f4ae794f-cae8-4a8b-98d3-acc8707a01e7,dc963441-deae-4de6-8869-5901f3f00ddd,0.67,
0.87,2019-10-10 02:46:23.022,2019-10-10 02:46:23.022,0.87,0.87,0.87,rkSVQ0chfP,com.sec.android.app.shealth,0.87,3f7a2d87-dd55-4133-b6a4-7beaf84d091a,358aa0f6-2565-41ed-82f0-5829da1d609d,0.87,
