com.samsung.shealth.preferences,6305105,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-10-16 01:09:54.939,2020-03-25 20:24:28.168,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2025-10-16 01:12:43.823,2023-02-03 06:28:07.900,,,,1,6+THe69Q8P,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,0.0,2019-10-11 20:56:26.964,2019-10-11 20:08:29.310,0,,stress.breath_settings.blob_value.json,0,BfdGMJKwGJ,com.sec.android.app.shealth,0.0,stress.breath_settings,
,tracker.exercise,,2021-08-02 22:45:44.141,2021-08-02 22:45:44.141,,,34-favorite_list.blob_value.json,,jBfEgmLJSx,com.sec.android.app.shealth,,34-favorite_list,
,tracker.exercise,,2021-08-02 22:45:44.155,2021-08-02 22:45:44.155,,,34-workout_list.blob_value.json,,jBfEgmLJSx,com.sec.android.app.shealth,,34-workout_list,
,,,2025-10-16 01:09:54.942,2023-08-21 04:36:38.426,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,settings.personalization_agreement,
,tracker.exercise,,2023-08-21 04:36:38.763,2023-08-21 04:36:38.763,,,34-favorite_list2.blob_value.json,,6+THe69Q8P,com.sec.android.app.shealth,,34-favorite_list2,
,tracker.exercise,,2023-08-21 04:36:38.780,2023-08-21 04:36:38.780,,,34-workout_list2.blob_value.json,,6+THe69Q8P,com.sec.android.app.shealth,,34-workout_list2,
SKELETAL_MUSCLE|BODY_FAT|STRESS|HEART_RATE,tile.healthSummary,,2023-08-21 04:24:39.894,2023-08-21 04:22:35.923,,,,,UfcgbyWV9E,com.sec.android.app.shealth,,77-selected.items,
,,,2023-08-21 04:36:42.156,2023-08-21 04:36:42.173,,,,1,6+THe69Q8P,com.sec.android.app.shealth,,settings.location_agreement,
,,,2025-10-16 01:12:43.821,2023-08-21 04:36:46.073,,,,1,6+THe69Q8P,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2025-10-16 01:12:43.826,2024-03-05 12:19:26.025,,,,1,6+THe69Q8P,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2024-03-05 12:48:19.197,2024-03-05 12:48:19.220,,,food-target-settings.blob_value.json,,6+THe69Q8P,com.sec.android.app.shealth,,food-target-settings,
,tracker.sleep,,2024-08-30 08:23:56.503,2024-08-30 08:23:56.508,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,06-snore_setting_new,
0,,,2024-10-23 17:01:34.504,2024-10-23 17:01:34.510,,,,,6+THe69Q8P,com.sec.android.app.shealth,,34-badges.DB.update,
,tracker.exercise,,2025-01-28 00:27:34.268,2024-10-23 17:01:34.599,,,,85,6+THe69Q8P,com.sec.android.app.shealth,,34-exercise.last.rest.hr,
,,,2025-01-28 17:43:44.305,2025-01-28 17:43:44.345,1738086224305,,,,6+THe69Q8P,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,tracker.age,,2025-05-30 09:18:01.775,2025-05-30 09:18:01.958,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,44-age.last.labs.support,
{"1000":"MOW_1"},,,2025-10-16 01:05:00.839,2025-10-16 01:05:00.962,,,,,6+THe69Q8P,com.sec.android.app.shealth,,mow.last_exposed_card_ids,
,,,2025-10-16 01:15:22.963,2025-10-16 01:05:15.228,,,,1,6+THe69Q8P,com.sec.android.app.shealth,,step.detectworkout_switch,
,tracker.exercise,,2025-10-16 01:05:44.594,2025-10-16 01:05:44.596,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,34-cumulative.values.reset,
,tracker.sleep,,2025-10-16 01:07:02.666,2025-10-16 01:07:02.894,,,,0,6+THe69Q8P,com.sec.android.app.shealth,,06-snore.setting.option_new,
,tracker.sleep,,2025-10-16 01:15:15.329,2025-10-16 01:07:03.471,,,,,6+THe69Q8P,com.sec.android.app.shealth,,sleep_guidance_updated_bed_time,
