com.samsung.shealth.rewards,6305105,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,,,,,2021-01-30 23:46:40.624,2020-03-25 20:24:31.044,,,LAST_SLEEP_CHECKING_TIME,,,jBfEgmLJSx,com.sec.android.app.shealth,Sleep.Goal.Temp,2021-01-30 07:00:00.000,b4fb282d-b6d1-4b54-8900-ef3b9d576e6d,-10000,
,2020-03-25 20:24:43.451,,,,2020-03-27 21:04:47.515,2020-03-25 20:24:43.465,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":false,""mValue"":143,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2020-03-25 20:24:43.451,01d3fea1-f07d-4c27-8309-b35a0ba5939f,0,
,2019-10-21 20:45:29.977,,,,2019-10-24 01:15:49.442,2019-10-21 20:45:30.018,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":91,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-21 20:45:29.977,e578c7fc-b1c1-4999-b41f-53986a1f6ee8,0,
,2019-10-19 03:19:29.985,,,,2019-10-20 19:04:00.782,2019-10-19 03:19:30.048,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":81,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-19 03:19:29.985,a7eb5a7b-49a9-4b56-a7ee-e69e36dc35ec,0,
,2019-10-18 01:17:52.233,,,,2019-10-19 03:19:30.034,2019-10-18 01:17:52.447,,,goal_activity_reward_goal_achieved,UTC-0600,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-18 01:17:52.233,e00cfe52-58e8-4493-a543-164fe3fe11b1,0,
,2019-10-12 23:50:01.210,,,,2019-10-13 21:33:14.202,2019-10-12 23:50:01.412,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":74,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-12 23:50:01.210,46aedd81-2270-41c6-a7b7-99fad1d5ab11,0,
,2019-11-06 05:55:11.590,,,,2019-11-08 05:49:45.303,2019-11-06 05:55:11.656,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":66,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-11-06 05:55:11.590,222a0d18-ddea-4437-ad24-5cb1f43b61a4,0,
,2019-10-12 04:00:00.000,,,,2019-10-13 16:10:04.408,2019-10-13 16:10:04.408,,,tracker_floor_reward_most_floors_climbed,UTC-0400,"{""mTarget"":-1,""mValue"":15.0}",rkSVQ0chfP,com.sec.android.app.shealth,tracker.floor,2019-10-12 04:00:00.000,370c6a86-bd44-415f-b382-48171cdbc6e2,1,
,2019-10-21 04:59:59.999,,,,2019-11-02 03:06:17.722,2019-10-20 22:27:49.982,,,goal_activity_reward_most_active_day,UTC-0500,"{""mIsCompleted"":true,""mValue"":128,""mValue2"":0}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-21 04:59:59.999,30c1c65b-d72c-45e7-ae52-efecc1603a3d,0,
,2019-10-25 22:22:23.289,,,,2019-10-29 23:22:47.931,2019-10-25 22:22:23.426,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":79,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-25 22:22:23.289,5fabf5a7-e3e6-4c23-bc84-64f374a58ed8,0,
,,,,,2021-01-30 23:46:40.624,2019-10-10 02:46:26.654,,,LAST_SLEEP_CHECKING_TIME,,,rkSVQ0chfP,com.sec.android.app.shealth,Sleep.Goal.Temp,2021-01-30 07:00:00.000,7ade3584-65d9-4aee-ab49-d6dc6d3c29a6,-10000,
,2019-11-02 06:59:59.999,,,,2019-11-02 09:16:38.252,2019-11-02 03:06:17.744,,,goal_activity_reward_most_active_day,UTC-0700,"{""mIsCompleted"":true,""mValue"":165,""mValue2"":0}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-11-02 06:59:59.999,8f5c6b21-308c-4ea0-ae25-4d8232eba7f1,1,
,2019-11-08 05:49:45.292,,,,2020-03-25 20:25:23.079,2019-11-08 05:49:45.306,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":77,""mValue2"":60}",jBfEgmLJSx,com.sec.android.app.shealth,goal.activity,2019-11-08 05:49:45.292,71479355-85d1-499b-b976-e028ac0a2027,0,
,2019-10-20 19:04:00.743,,,,2019-10-21 20:45:30.003,2019-10-20 19:04:00.807,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":128,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-20 19:04:00.743,807378a2-332d-4962-b1de-9e4a184ba1e7,0,
,2019-10-25 01:35:01.001,,,,2019-10-25 22:22:23.382,2019-10-25 01:35:01.090,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":90,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-25 01:35:01.001,464f82c2-d3a3-42f9-bb3a-311fd6dfde20,0,
,2019-11-02 06:59:59.999,,,,2019-11-06 05:55:11.626,2019-11-01 22:58:18.450,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":165,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-11-02 06:59:59.999,74397d25-462d-4bad-bdaa-79ebb29fe59a,0,
,2019-10-13 21:33:14.092,,,,2019-10-18 01:17:52.425,2019-10-13 21:33:14.215,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":81,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-13 21:33:14.092,338c32b6-5e58-418c-8d22-bf7bcb0b5415,0,
,2019-10-12 05:00:00.000,,,,2020-04-23 19:22:16.675,2019-10-13 16:10:04.495,,,tracker_floor_reward_target_achieved,UTC-0500,"{""mTarget"":10,""mValue"":15.0}",rkSVQ0chfP,com.sec.android.app.shealth,tracker.floor,2019-10-12 05:00:00.000,9b0e5cf3-0647-41ff-b9e2-d5382c03d745,1,
,2019-11-01 00:05:23.277,,,,2019-11-01 22:58:18.447,2019-11-01 00:05:23.316,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":72,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-11-01 00:05:23.277,f7fc786b-762a-4e83-b6a5-1e554af3a928,0,
,2019-10-29 23:22:47.920,,,,2019-11-01 00:05:23.309,2019-10-29 23:22:47.937,,,goal_activity_reward_goal_achieved,UTC-0700,"{""mIsCompleted"":true,""mValue"":85,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-29 23:22:47.920,25fe4395-41f5-42ec-9c9e-433b5404062c,0,
,2019-10-24 01:15:49.429,,,,2019-10-25 01:35:01.051,2019-10-24 01:15:49.446,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":74,""mValue2"":60}",rkSVQ0chfP,com.sec.android.app.shealth,goal.activity,2019-10-24 01:15:49.429,66d1a5fb-f3ad-40c5-9f6e-5f577c569294,0,
,2020-03-25 07:00:00.000,,1899999,,2020-03-25 20:25:34.039,2020-03-25 20:25:20.809,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":8201}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2020-03-25 07:00:00.000,e077de95-6414-488d-9d9b-30c81c124f95,1,
,2019-10-13 07:00:00.000,,10009,,2020-03-25 20:25:34.297,2020-03-25 20:25:34.297,,,tracker_pedometer_reward_target_achieved,UTC-0700,"{""mTarget"":6000,""mValue"":6319}",jBfEgmLJSx,com.sec.android.app.shealth,tracker.pedometer,2019-10-13 07:00:00.000,13ac4075-223f-46ef-a2d8-ec51808a3f21,1,
