com.samsung.shealth.sleep,6305105,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54984b26-ce31-8e5d-3c5c-8bf6449d62a3.extra_data.json,,,,,,86.0,,,,,,2020-03-20 06:54:00.000,,,2020-03-20 10:50:32.810,2020-03-20 10:50:32.810,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-20 10:50:00.000,54984b26-ce31-8e5d-3c5c-8bf6449d62a3,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,153cdd7e-b5bf-f32b-88f9-da1e9cfac68e.extra_data.json,,,,,,93.0,,,,,,2020-03-24 08:00:00.000,,,2020-03-24 10:10:13.333,2020-03-24 10:10:13.333,,,UTC-0600,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-24 10:08:00.000,153cdd7e-b5bf-f32b-88f9-da1e9cfac68e,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,caf6cc34-4e00-4809-2396-04c82ce1eb91.extra_data.json,,,,,,87.0,,,,,,2020-03-24 10:17:00.000,,,2020-03-24 12:41:17.373,2020-03-24 12:41:17.373,,,UTC-0600,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-24 12:36:00.000,caf6cc34-4e00-4809-2396-04c82ce1eb91,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1a6eb681-95ac-3b9a-250f-de189a0dd148.extra_data.json,,,,,,75.0,,,,,,2020-03-24 12:55:00.000,,,2020-03-24 13:35:58.410,2020-03-24 13:35:58.410,,,UTC-0600,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-03-24 13:19:00.000,1a6eb681-95ac-3b9a-250f-de189a0dd148,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,c95d8a87-faa9-ba1c-f573-a721e3e8576b.extra_data.json,,,,,,87.0,,,,,,2019-10-28 08:25:00.000,,,2019-10-28 14:58:40.335,2019-10-28 14:58:40.335,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-28 14:55:00.000,c95d8a87-faa9-ba1c-f573-a721e3e8576b,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,772d21ff-0f56-e733-3c15-dda2dd209f17.extra_data.json,,,,,,85.0,,,,,,2019-11-04 18:22:00.000,,,2019-11-04 23:10:11.394,2019-11-04 23:10:11.394,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-04 23:09:00.000,772d21ff-0f56-e733-3c15-dda2dd209f17,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,aab739ac-c168-d71b-6652-3575f90336cf.extra_data.json,,,,,,72.0,,,,,,2019-10-25 11:07:00.000,,,2019-10-25 14:24:46.316,2019-10-25 14:24:46.316,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-25 14:06:00.000,aab739ac-c168-d71b-6652-3575f90336cf,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,fc175a39-4cb9-e04a-fc5a-9b2e148da305.extra_data.json,,,,,,86.0,,,,,,2019-10-23 10:47:00.000,,,2019-10-23 13:24:57.755,2019-10-23 13:24:57.755,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-23 13:17:00.000,fc175a39-4cb9-e04a-fc5a-9b2e148da305,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,474ce266-b92a-cf20-7ca1-937230753a08.extra_data.json,,,,,,89.0,,,,,,2019-11-03 09:24:00.000,,,2019-11-03 15:10:19.432,2019-11-03 15:10:19.432,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-11-03 15:03:00.000,474ce266-b92a-cf20-7ca1-937230753a08,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,905af64f-e2a2-11cd-f543-d60043c0dcdf.extra_data.json,,,,,,69.0,,,,,,2019-10-10 22:07:00.000,,,2019-10-11 04:40:18.412,2019-10-11 04:40:18.412,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2019-10-11 04:37:00.000,905af64f-e2a2-11cd-f543-d60043c0dcdf,
