com.samsung.shealth.tracker.pedometer_day_summary,6305105,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,9763,17620cd0-5327-492a-8a85-25da817118ba.binning_data.json,5650823,6000,,7,2020-03-26 04:55:06.437,com.sec.android.app.shealth,2020-03-25 20:24:44.535,17620cd0-5327-492a-8a85-25da817118ba.source_info.json,1.2813812,7240.86,349.76,9756,VfS0qUERdZ,com.sec.android.app.shealth,0,17620cd0-5327-492a-8a85-25da817118ba.achievement.json,17620cd0-5327-492a-8a85-25da817118ba,1585094400000,
,4663,0127878f-4e84-4bcc-904c-5b0a19e89906.binning_data.json,2658279,6000,,4,2019-11-05 06:55:12.617,com.sec.android.app.shealth,2019-11-04 08:37:19.986,0127878f-4e84-4bcc-904c-5b0a19e89906.source_info.json,1.2500924,3323.0952,245.63171,4659,VfS0qUERdZ,com.sec.android.app.shealth,0,0127878f-4e84-4bcc-904c-5b0a19e89906.achievement.json,0127878f-4e84-4bcc-904c-5b0a19e89906,1572825600000,
,8558,5e02489b-6cda-4467-88c4-aa6e527651d5.binning_data.json,4559609,6000,,189,2019-10-22 18:00:32.443,com.sec.android.app.shealth,2019-10-21 13:14:42.686,5e02489b-6cda-4467-88c4-aa6e527651d5.source_info.json,1.4093133,6425.9185,468.65555,8369,VfS0qUERdZ,com.sec.android.app.shealth,0,5e02489b-6cda-4467-88c4-aa6e527651d5.achievement.json,5e02489b-6cda-4467-88c4-aa6e527651d5,1571616000000,
,3200,94a147d9-4234-44e7-aff1-c57a414c1831.binning_data.json,1788844,6000,,17,2019-10-20 02:16:09.907,com.sec.android.app.shealth,2019-10-19 09:32:20.626,,3.8888886,2180.151,162.91,3183,BfdGMJKwGJ,com.sec.android.app.shealth,0,94a147d9-4234-44e7-aff1-c57a414c1831.achievement.json,94a147d9-4234-44e7-aff1-c57a414c1831,1571443200000,
,2551,cf5c1ad5-c14f-449c-8d49-eedbf1e64276.binning_data.json,1322573,6000,,42,2019-10-23 04:00:01.390,com.sec.android.app.shealth,2019-10-22 05:00:01.176,,4.067461,2108.1216,149.37573,2509,rkSVQ0chfP,com.sec.android.app.shealth,0,cf5c1ad5-c14f-449c-8d49-eedbf1e64276.achievement.json,cf5c1ad5-c14f-449c-8d49-eedbf1e64276,1571702400000,
,5211,49698915-284f-406f-8284-3315752c4d2f.binning_data.json,2757491,6000,,188,2019-10-28 08:35:13.339,com.sec.android.app.shealth,2019-10-27 05:55:01.327,49698915-284f-406f-8284-3315752c4d2f.source_info.json,1.4765629,4071.6096,316.12064,5023,VfS0qUERdZ,com.sec.android.app.shealth,0,49698915-284f-406f-8284-3315752c4d2f.achievement.json,49698915-284f-406f-8284-3315752c4d2f,1572134400000,
,9177,b7dec035-b2d4-444e-aa4b-f56ad71e6a1e.binning_data.json,4024974,6000,,696,2019-10-21 05:00:01.365,com.sec.android.app.shealth,2019-10-21 05:00:01.365,,6.9444447,8208.4,596.2008,8481,rkSVQ0chfP,com.sec.android.app.shealth,0,b7dec035-b2d4-444e-aa4b-f56ad71e6a1e.achievement.json,b7dec035-b2d4-444e-aa4b-f56ad71e6a1e,1571529600000,
,3145,f0730ed0-aa51-4543-9a9f-0ae12996c4c2.binning_data.json,1726022,6000,,100,2019-10-12 05:55:25.608,com.sec.android.app.shealth,2019-10-11 04:53:36.304,,2.288223,2250.036,164.06413,3045,BfdGMJKwGJ,com.sec.android.app.shealth,0,f0730ed0-aa51-4543-9a9f-0ae12996c4c2.achievement.json,f0730ed0-aa51-4543-9a9f-0ae12996c4c2,1570752000000,
,2437,40c0af0b-097b-4d22-bd86-e27183f46ea0.binning_data.json,1330136,6000,,19,2019-10-16 06:35:26.757,com.sec.android.app.shealth,2019-10-15 05:55:09.019,,6.9444447,1719.461,128.52,2418,BfdGMJKwGJ,com.sec.android.app.shealth,0,40c0af0b-097b-4d22-bd86-e27183f46ea0.achievement.json,40c0af0b-097b-4d22-bd86-e27183f46ea0,1571097600000,
,764,23f9bcd1-e300-4896-a5ad-941e6d370e4e.binning_data.json,391016,6000,,5,2019-11-07 07:00:02.913,com.sec.android.app.shealth,2019-11-06 08:55:08.226,23f9bcd1-e300-4896-a5ad-941e6d370e4e.source_info.json,1.6501082,645.2195,47.08764,759,VfS0qUERdZ,com.sec.android.app.shealth,0,23f9bcd1-e300-4896-a5ad-941e6d370e4e.achievement.json,23f9bcd1-e300-4896-a5ad-941e6d370e4e,1572998400000,
