com.samsung.shealth.tracker.pedometer_step_count,6305105,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12500,4,0,18,2025-09-13 01:39:00.000,,,2025-09-13 01:55:00.821,2025-09-13 01:55:00.821,18,1.3055556,16.32,0.82,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:40:00.000,c7410152-bc73-46a3-ae15-a2446f88e40d,
25582,4,0,45,2025-09-13 01:43:00.000,,,2025-09-13 01:55:00.836,2025-09-13 01:55:00.836,45,1.3611112,34.82,1.4,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:44:00.000,8e8c67e6-fd61-44a7-8434-eda58af60fe4,
11886,4,0,22,2025-09-13 01:46:00.000,,,2025-09-13 01:55:00.844,2025-09-13 01:55:00.844,22,1.4444444,17.17,0.69,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:47:00.000,92f9bc54-98da-4364-86bf-e3cd240b3d30,
30203,4,0,52,2025-09-13 01:48:00.000,,,2025-09-13 01:55:00.855,2025-09-13 01:55:00.855,52,1.3611112,41.11,1.75,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:49:00.000,e597e4e0-3b2d-4d9c-bed4-b36d526c559b,
10553,4,0,15,2025-09-13 01:49:00.000,,,2025-09-13 01:55:00.868,2025-09-13 01:55:00.868,15,1.0555556,11.14,0.49,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:50:00.000,a796d66b-2579-4ed2-9a17-e3b2ae1219c3,
7877,4,0,15,2025-09-13 01:54:00.000,,,2025-09-13 01:55:00.878,2025-09-13 01:55:00.878,15,1.4166666,11.16,0.49,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 01:55:00.000,818d54f4-d5fe-420c-9fcd-cd632497e81f,
14192,4,0,18,2025-09-13 02:01:00.000,,,2025-09-13 02:15:00.970,2025-09-13 02:15:00.970,18,1.6388888,23.26,1.27,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:02:00.000,d047f180-5c26-4418-ac98-d06c3a2abb33,
13144,4,0,20,2025-09-13 02:04:00.000,,,2025-09-13 02:15:00.982,2025-09-13 02:15:00.982,20,1.1388888,14.97,0.64,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:05:00.000,ab45c0ea-654d-4a5a-8b69-5cfeb518df88,
37905,4,4,58,2025-09-13 02:05:00.000,,,2025-09-13 02:15:00.994,2025-09-13 02:15:00.994,62,1.3333334,50.54,2.34,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:06:00.000,21572ca2-9f20-4b02-84e1-5747c13010dc,
9765,4,0,17,2025-09-13 02:06:00.000,,,2025-09-13 02:15:01.004,2025-09-13 02:15:01.004,17,1.3055556,12.75,0.55,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:07:00.000,fb1e60cd-f803-4bd9-936a-c67e4d0489b1,
36384,4,0,56,2025-09-13 02:18:00.000,,,2025-09-13 02:35:00.885,2025-09-13 02:35:00.885,56,1.2222222,44.47,2.01,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:19:00.000,15fca50d-b084-4fb6-893e-e20fed2dd968,
18237,4,0,33,2025-09-13 02:21:00.000,,,2025-09-13 02:35:00.901,2025-09-13 02:35:00.901,33,1.3888888,25.33,1.0,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:22:00.000,93217d71-23bb-473e-b1fd-a0bd25c03583,
18678,4,0,30,2025-09-13 02:23:00.000,,,2025-09-13 02:35:00.912,2025-09-13 02:35:00.912,30,1.1944444,22.31,0.94,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:24:00.000,40bb7123-e793-4db5-a75f-5271432399e6,
7792,4,0,13,2025-09-13 02:24:00.000,,,2025-09-13 02:35:00.922,2025-09-13 02:35:00.922,13,1.25,9.74,0.39,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:25:00.000,5344b120-a49b-4a9c-b0af-d4ff4222b4a7,
31077,4,0,56,2025-09-13 02:39:00.000,,,2025-09-13 02:55:01.071,2025-09-13 02:55:01.071,56,1.3611112,42.3,1.72,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:40:00.000,d7492169-8e6c-464f-804f-8c31f8931d24,
25651,4,0,44,2025-09-13 02:49:00.000,,,2025-09-13 02:55:01.092,2025-09-13 02:55:01.092,44,1.3055556,33.49,1.39,UTC-0500,6+THe69Q8P,com.sec.android.app.shealth,2025-09-13 02:50:00.000,dc0c87aa-60b9-4010-ba89-71f6746f3f93,
